WaveLength,Module1,Min%, Max%, Modue2,Min%, Max%
496,37405.4400,-150.00,150.00,29463.9700,-150.00,150.00,
497,37361.1100,-150.00,150.00,29169.0500,-150.00,150.00,
498,37351.5900,-150.00,150.00,29210.0200,-150.00,150.00,
499,37918.9100,-150.00,150.00,29322.8500,-150.00,150.00,
500,38303.2200,-150.00,150.00,29637.9700,-150.00,150.00,
501,38836.8300,-150.00,150.00,30249.6500,-150.00,150.00,
502,39145.2900,-150.00,150.00,30480.4300,-150.00,150.00,
503,39585.6900,-150.00,150.00,30723.9600,-150.00,150.00,
504,39596.5600,-150.00,150.00,30761.4000,-150.00,150.00,
505,39499.0300,-150.00,150.00,30859.4200,-150.00,150.00,
506,39385.3800,-150.00,150.00,30751.6300,-150.00,150.00,
507,39375.5000,-150.00,150.00,30751.9600,-150.00,150.00,
508,39353.7600,-150.00,150.00,30919.0200,-150.00,150.00,
509,39623.2500,-150.00,150.00,31083.8300,-150.00,150.00,
510,39793.9600,-150.00,150.00,31296.2300,-150.00,150.00,
511,40355.8600,-150.00,150.00,31557.2300,-150.00,150.00,
512,40571.6400,-150.00,150.00,31949.0200,-150.00,150.00,
513,40608.2700,-150.00,150.00,32050.7500,-150.00,150.00,
514,40664.0400,-150.00,150.00,32074.8700,-150.00,150.00,
515,40499.7000,-150.00,150.00,32031.8300,-150.00,150.00,
516,40304.0700,-150.00,150.00,31973.8000,-150.00,150.00,
517,40180.3800,-150.00,150.00,31762.5600,-150.00,150.00,
518,40078.1500,-150.00,150.00,31820.2600,-150.00,150.00,
519,40315.2800,-150.00,150.00,32020.4200,-150.00,150.00,
520,40602.6600,-150.00,150.00,32212.8000,-150.00,150.00,
521,41062.5100,-150.00,150.00,32564.7300,-150.00,150.00,
522,41994.0100,-150.00,150.00,32954.9600,-150.00,150.00,
523,42464.9800,-150.00,150.00,33598.7000,-150.00,150.00,
524,42850.1700,-150.00,150.00,33868.4600,-150.00,150.00,
525,43135.8600,-150.00,150.00,34130.4400,-150.00,150.00,
526,43728.0600,-150.00,150.00,34499.0200,-150.00,150.00,
527,44219.1800,-150.00,150.00,34678.7800,-150.00,150.00,
528,44680.3400,-150.00,150.00,35034.7900,-150.00,150.00,
529,45052.4600,-150.00,150.00,35183.2300,-150.00,150.00,
530,45126.1100,-150.00,150.00,35281.6600,-150.00,150.00,
531,44924.4300,-150.00,150.00,35193.0400,-150.00,150.00,
532,44803.7100,-150.00,150.00,35014.5100,-150.00,150.00,
533,44756.6200,-150.00,150.00,34898.7800,-150.00,150.00,
534,44652.8200,-150.00,150.00,34813.7800,-150.00,150.00,
535,44682.6700,-150.00,150.00,34869.3500,-150.00,150.00,
536,44912.1600,-150.00,150.00,34884.7200,-150.00,150.00,
537,45568.7000,-150.00,150.00,35350.0200,-150.00,150.00,
538,45779.7600,-150.00,150.00,35572.1000,-150.00,150.00,
539,46044.6300,-150.00,150.00,35754.6300,-150.00,150.00,
540,46192.6800,-150.00,150.00,35883.2100,-150.00,150.00,
541,46035.6600,-150.00,150.00,35801.0900,-150.00,150.00,
542,45734.2900,-150.00,150.00,35652.8900,-150.00,150.00,
543,45578.3200,-150.00,150.00,35530.2300,-150.00,150.00,
544,45287.3300,-150.00,150.00,35203.5100,-150.00,150.00,
545,45241.2200,-150.00,150.00,35289.5100,-150.00,150.00,
546,45472.8000,-150.00,150.00,35353.9400,-150.00,150.00,
547,45491.7100,-150.00,150.00,35392.8600,-150.00,150.00,
548,45347.0500,-150.00,150.00,35321.5600,-150.00,150.00,
549,45020.2900,-150.00,150.00,35095.6000,-150.00,150.00,
550,44629.6100,-150.00,150.00,34873.6000,-150.00,150.00,
551,44282.8200,-150.00,150.00,34373.2000,-150.00,150.00,
552,43911.2900,-150.00,150.00,34292.5000,-150.00,150.00,
553,44068.3700,-150.00,150.00,34248.0600,-150.00,150.00,
554,44176.4200,-150.00,150.00,34600.6600,-150.00,150.00,
555,44594.7900,-150.00,150.00,34855.3000,-150.00,150.00,
556,45148.3300,-150.00,150.00,35085.4600,-150.00,150.00,
557,45366.3000,-150.00,150.00,35189.4500,-150.00,150.00,
558,45402.1300,-150.00,150.00,35155.7700,-150.00,150.00,
559,45144.0200,-150.00,150.00,35070.0900,-150.00,150.00,
560,44467.1400,-150.00,150.00,34752.3200,-150.00,150.00,
561,44143.9400,-150.00,150.00,34358.5000,-150.00,150.00,
562,43906.6500,-150.00,150.00,34173.8900,-150.00,150.00,
563,43808.2400,-150.00,150.00,34179.4500,-150.00,150.00,
564,43964.6400,-150.00,150.00,34175.5200,-150.00,150.00,
565,44195.3100,-150.00,150.00,34576.1500,-150.00,150.00,
566,44470.1300,-150.00,150.00,34608.8300,-150.00,150.00,
567,44658.4600,-150.00,150.00,34707.5400,-150.00,150.00,
568,44571.2500,-150.00,150.00,34669.9500,-150.00,150.00,
569,44422.0500,-150.00,150.00,34467.6400,-150.00,150.00,
570,44035.5600,-150.00,150.00,34234.0100,-150.00,150.00,
571,43242.1500,-150.00,150.00,33833.1800,-150.00,150.00,
572,42709.8400,-150.00,150.00,33123.0400,-150.00,150.00,
573,42183.8200,-150.00,150.00,32775.4900,-150.00,150.00,
574,41361.7500,-150.00,150.00,32487.7500,-150.00,150.00,
575,41056.8900,-150.00,150.00,31901.7500,-150.00,150.00,
576,40810.5900,-150.00,150.00,31729.3100,-150.00,150.00,
577,40786.1600,-150.00,150.00,31650.1100,-150.00,150.00,
578,40897.4100,-150.00,150.00,31623.0600,-150.00,150.00,
579,41021.2300,-150.00,150.00,31901.7500,-150.00,150.00,
580,41220.0400,-150.00,150.00,32061.8300,-150.00,150.00,
581,41412.3000,-150.00,150.00,32274.4400,-150.00,150.00,
582,41858.1300,-150.00,150.00,32456.4300,-150.00,150.00,
583,41818.7900,-150.00,150.00,32496.5500,-150.00,150.00,
584,41687.8900,-150.00,150.00,32407.5100,-150.00,150.00,
585,41181.0700,-150.00,150.00,32266.9400,-150.00,150.00,
586,40886.5200,-150.00,150.00,31705.5200,-150.00,150.00,
587,40538.9700,-150.00,150.00,31526.9200,-150.00,150.00,
588,40291.8600,-150.00,150.00,31306.3300,-150.00,150.00,
589,40164.5500,-150.00,150.00,31167.2200,-150.00,150.00,
590,40334.0800,-150.00,150.00,31235.3000,-150.00,150.00,
591,40551.1800,-150.00,150.00,31371.1600,-150.00,150.00,
592,41302.9500,-150.00,150.00,31567.9800,-150.00,150.00,
593,41767.8800,-150.00,150.00,32129.9800,-150.00,150.00,
594,42014.5100,-150.00,150.00,32357.2800,-150.00,150.00,
595,42188.1200,-150.00,150.00,32562.7700,-150.00,150.00,
596,42243.3500,-150.00,150.00,32648.9000,-150.00,150.00,
597,42101.8000,-150.00,150.00,32427.4000,-150.00,150.00,
598,41930.8600,-150.00,150.00,32340.3200,-150.00,150.00,
599,41627.4100,-150.00,150.00,32110.0900,-150.00,150.00,
600,41387.8500,-150.00,150.00,32015.2100,-150.00,150.00,
601,41296.6800,-150.00,150.00,32057.9200,-150.00,150.00,
602,41447.3200,-150.00,150.00,32110.7400,-150.00,150.00,
603,41678.6400,-150.00,150.00,32468.5000,-150.00,150.00,
