SerialNumber,T::TP1_T_PCT_400,T::TP1_T_PCT_410,T::TP1_T_PCT_420,T::TP1_T_PCT_450,T::TP1_T_PCT_500,T::TP1_T_PCT_550,T::TP1_T_PCT_600,T::TP1_T_PCT_650,T::TP1_T_PCT_700,T::TP1_T_PCT_750,T::TP1_T_PCT_800,T::TP1_T_PCT_850,T::TP1_T_PCT_900,T::TP1_T_PCT_950,T::TP1_T_PCT_1000,T::TP1_T_PCT_1050,T::TP1_T_PCT_1100,T::TP2_T_PCT_400,T::TP2_T_PCT_410,T::TP2_T_PCT_420,T::TP2_T_PCT_450,T::TP2_T_PCT_500,T::TP2_T_PCT_550,T::TP2_T_PCT_600,T::TP2_T_PCT_650,T::TP2_T_PCT_700,T::TP2_T_PCT_750,T::TP2_T_PCT_800,T::TP2_T_PCT_850,T::TP2_T_PCT_900,T::TP2_T_PCT_950,T::TP2_T_PCT_1000,T::TP2_T_PCT_1050,T::TP2_T_PCT_1100,T::TP3_T_PCT_400,T::TP3_T_PCT_410,T::TP3_T_PCT_420,T::TP3_T_PCT_450,T::TP3_T_PCT_500,T::TP3_T_PCT_550,T::TP3_T_PCT_600,T::TP3_T_PCT_650,T::TP3_T_PCT_700,T::TP3_T_PCT_750,T::TP3_T_PCT_800,T::TP3_T_PCT_850,T::TP3_T_PCT_900,T::TP3_T_PCT_950,T::TP3_T_PCT_1000,T::TP3_T_PCT_1050,T::TP3_T_PCT_1100
FXM70730TJRHYWD24+03004143654181074103807933,1.9212,2.1559,2.3596,2.8695,3.7871,4.7977,5.3923,6.3841,7.6411,10.361,13.1215,14.9169,17.2629,19.3533,20.7134,23.0572,26.0167,1.9527,2.1514,2.3345,2.8509,3.7767,4.7934,5.4066,6.4386,7.6032,10.3687,12.9978,14.8225,17.1797,18.8754,20.9752,22.0125,23.578,1.9304,2.12,2.3332,2.8176,3.7143,4.7662,5.3931,6.301,7.64,10.3548,12.8914,14.8308,16.7472,18.6099,20.8967,22.0871,19.5123
FXM7073128SHYWD2M+03005139640183073100816933,1.84,2.0238,2.228,2.6615,3.5602,4.4957,5.0886,6.1082,7.1619,9.9191,12.5485,14.4707,16.6015,18.9721,20.36,20.9108,18.5532,1.7949,2.0176,2.2306,2.6114,3.4998,4.4007,5.0394,5.988,7.1762,9.7797,12.596,14.2768,16.3818,18.6584,20.5172,20.8412,19.5836,1.7556,1.999,2.184,2.5993,3.5006,4.4221,5.0019,5.9029,7.1132,9.8056,12.3999,14.2865,16.4272,18.2103,20.063,21.015,19.731
FXM71950915J0DF2S+02002095614165070714721933,2.1665,2.4284,2.6174,3.0821,3.9708,4.9776,5.5845,6.597,7.9062,10.5853,13.4926,15.3933,17.6243,20.5178,21.9061,22.7971,21.7739,2.0368,2.236,2.479,2.8954,3.7152,4.6912,5.3043,6.3295,7.4646,10.1315,12.8333,14.7843,16.8506,19.1857,20.6274,22.1426,19.2556,1.8934,2.1259,2.3252,2.7639,3.5483,4.5069,5.1165,6.0769,7.258,9.8563,12.477,14.2866,16.623,18.6665,20.3296,21.2472,20.737
FXM71950920J0DF2U+02002097618162071730710933,2.294,2.5714,2.7781,3.2715,4.1936,5.2494,5.8601,6.9538,8.2345,11.1166,13.9549,15.9708,18.1212,20.5374,22.736,24.2102,25.2024,2.2161,2.4579,2.6297,3.1411,4.0486,5.0418,5.6927,6.7184,8.0137,10.7551,13.6789,15.5113,17.723,20.3765,22.2325,22.7861,20.3247,1.9954,2.1771,2.411,2.9019,3.761,4.6938,5.3453,6.3011,7.5581,10.3097,12.9356,14.751,16.8936,19.0358,21.4374,22.0364,18.6966
FXM7195096DJ0DF23+02002096619166069716725933,2.3414,2.5692,2.7634,3.2254,4.0143,5.0097,5.5497,6.5257,7.7469,10.3637,13.11,14.8709,17.2187,19.2402,21.3945,22.6588,19.9677,2.3453,2.639,2.8062,3.2585,4.0588,5.0175,5.6154,6.5774,7.756,10.3824,13.1219,14.7551,17.2792,19.5767,21.5881,22.344,18.3643,2.3806,2.5909,2.7841,3.2575,4.1403,5.0526,5.6287,6.5695,7.8436,10.4286,13.108,14.8009,17.1356,19.4869,21.2361,22.2041,20.9875
FXM719509CKJ0DF2D+02002100633165077751722933,2.654,2.926,3.103,3.6499,4.6212,5.766,6.4049,7.5563,8.8531,11.8374,14.763,16.8469,18.9502,21.3237,23.0945,24.9029,17.0747,2.2999,2.5327,2.7405,3.2856,4.1595,5.1993,5.8261,6.8938,8.1529,11.0204,13.8335,15.7584,17.9047,20.2348,22.1016,23.9188,24.3909,2.3555,2.609,2.802,3.3366,4.2587,5.2995,5.9354,7.0128,8.3064,11.0687,13.7923,15.6942,17.7387,20.1551,22.1539,23.3132,18.6994
FXM719509DJJ0DF2B+02002102637164078774719933,2.5878,2.883,3.1425,3.6409,4.574,5.5922,6.3286,7.388,8.7708,11.646,14.5681,16.5862,18.7323,20.8645,23.5386,24.9216,23.9287,2.5059,2.7663,2.9926,3.5313,4.4417,5.5092,6.185,7.2105,8.5531,11.3442,14.3197,16.2549,18.3671,20.1717,23.1697,24.4687,21.3674,2.4297,2.6183,2.883,3.3444,4.2357,5.2974,5.935,6.9673,8.2136,11.0813,13.7336,15.8205,17.6615,19.9051,22.7478,23.1847,27.3492
FXM719509GXJ0DF2P+02002100620165078753721933,2.3001,2.6216,2.8387,3.3085,4.2066,5.2711,5.8301,6.8587,8.2401,11.0007,13.7542,15.7312,17.9996,20.6556,21.8738,23.6555,20.3134,2.249,2.5163,2.7288,3.1793,4.0332,5.0828,5.6716,6.7015,7.9412,10.6608,13.5248,15.492,17.7253,19.9624,21.5417,23.0649,20.7456,2.2077,2.4264,2.6758,3.0971,3.9824,5.0176,5.5912,6.5838,7.8131,10.485,13.1591,15.0377,17.3672,19.6047,21.1397,22.9259,20.3135
