SerialNumber,T::TP1_T_PCT_400,T::TP1_T_PCT_410,T::TP1_T_PCT_420,T::TP1_T_PCT_450,T::TP1_T_PCT_500,T::TP1_T_PCT_550,T::TP1_T_PCT_600,T::TP1_T_PCT_650,T::TP1_T_PCT_700,T::TP1_T_PCT_750,T::TP1_T_PCT_800,T::TP1_T_PCT_850,T::TP1_T_PCT_900,T::TP1_T_PCT_950,T::TP1_T_PCT_1000,T::TP1_T_PCT_1050,T::TP1_T_PCT_1100,T::TP2_T_PCT_400,T::TP2_T_PCT_410,T::TP2_T_PCT_420,T::TP2_T_PCT_450,T::TP2_T_PCT_500,T::TP2_T_PCT_550,T::TP2_T_PCT_600,T::TP2_T_PCT_650,T::TP2_T_PCT_700,T::TP2_T_PCT_750,T::TP2_T_PCT_800,T::TP2_T_PCT_850,T::TP2_T_PCT_900,T::TP2_T_PCT_950,T::TP2_T_PCT_1000,T::TP2_T_PCT_1050,T::TP2_T_PCT_1100,T::TP3_T_PCT_400,T::TP3_T_PCT_410,T::TP3_T_PCT_420,T::TP3_T_PCT_450,T::TP3_T_PCT_500,T::TP3_T_PCT_550,T::TP3_T_PCT_600,T::TP3_T_PCT_650,T::TP3_T_PCT_700,T::TP3_T_PCT_750,T::TP3_T_PCT_800,T::TP3_T_PCT_850,T::TP3_T_PCT_900,T::TP3_T_PCT_950,T::TP3_T_PCT_1000,T::TP3_T_PCT_1050,T::TP3_T_PCT_1100
FXM71950915J0DF2S+02002095614165070714721933,2.092733333,2.315833333,2.539566667,3.009633333,3.928166667,4.915,5.562633333,6.605666667,7.823966667,10.55266667,13.4262,15.29,17.66473333,20.05816667,21.73973333,23.27016667,25.21746667,1.933333333,2.1639,2.361433333,2.8277,3.669866667,4.6119,5.2434,6.226966667,7.421166667,10.0159,12.84656667,14.6701,17.13173333,19.36506667,21.14753333,22.54733333,23.62,1.848366667,2.078566667,2.271666667,2.696766667,3.522633333,4.456233333,5.060766667,6.0322,7.203733333,9.7923,12.4267,14.27586667,16.64273333,18.71636667,20.69673333,21.79,23.8011
FXM719509CKJ0DF2D+02002100633165077751722933,2.561566667,2.837166667,3.079066667,3.6068,4.598066667,5.682666667,6.3635,7.472666667,8.792966667,11.63226667,14.61766667,16.61626667,19.1689,21.42283333,23.1603,24.8956,24.90786667,2.300733333,2.555733333,2.797566667,3.282633333,4.230266667,5.263966667,5.905666667,6.975633333,8.248,11.0196,13.92606667,15.86673333,18.29306667,20.70946667,22.22986667,23.85853333,24.73056667,2.383433333,2.632466667,2.874666667,3.3799,4.324533333,5.364333333,6.022133333,7.061766667,8.347766667,11.15703333,14.03663333,15.8728,18.31503333,20.59816667,22.5118,23.96263333,25.25863333
FXM72660BVCJ88X3W+03002103655187071767817933,1.933266667,2.143266667,2.3717,2.845533333,3.722566667,4.7145,5.373333333,6.383066667,7.662466667,10.3453,13.26183333,15.1267,17.60323333,19.9285,21.71443333,22.81626667,24.50646667,1.899266667,2.136433333,2.340866667,2.8154,3.698966667,4.6805,5.3211,6.3463,7.583433333,10.2491,13.15606667,15.023,17.47876667,19.79396667,21.57366667,22.8853,25.2146,1.9227,2.148366667,2.381533333,2.8525,3.730966667,4.725066667,5.3886,6.392,7.6658,10.35516667,13.23856667,15.1064,17.58126667,19.95073333,21.68616667,23.09253333,24.32633333
FXM72660C11J88X3N+03002107668188076800820933,1.9305,2.182466667,2.397033333,2.922733333,3.8786,4.948,5.6571,6.7258,8.047866667,10.90486667,13.88326667,15.76213333,18.3444,20.6082,22.41453333,23.88486667,26.0219,1.873233333,2.1091,2.3339,2.8486,3.7852,4.8611,5.5406,6.6057,7.908633333,10.7094,13.67213333,15.55703333,18.1397,20.4294,22.2457,23.60846667,25.48723333,1.826533333,2.078366667,2.294633333,2.794133333,3.732166667,4.790133333,5.4658,6.526833333,7.822,10.61663333,13.53306667,15.35396667,18.00083333,20.20593333,21.94986667,23.2283,25.3061
FXM73663F15JHDD4W+04014113688185076847808933,1.760366667,1.974633333,2.173,2.643966667,3.559833333,4.686066667,5.307333333,6.3904,7.609966667,10.22713333,12.942,14.9418,17.00146667,19.09663333,20.65973333,22.14176667,23.62,1.658566667,1.863766667,2.0609,2.503866667,3.385933333,4.4809,5.064833333,6.1342,7.317133333,9.8445,12.55073333,14.4587,16.5782,18.49286667,20.124,21.281,22.9109,1.5674,1.7478,1.930566667,2.3682,3.231366667,4.291566667,4.869733333,5.923633333,7.076766667,9.5464,12.20576667,14.1136,16.19153333,18.11266667,19.72916667,20.93663333,22.55543333
FXM73663F9MJHDD4Q+04014114671185077851809933,1.969633333,2.1812,2.4061,2.862933333,3.8326,4.9927,5.591966667,6.710333333,7.9255,10.54143333,13.25806667,15.30406667,17.48856667,19.4551,20.87616667,22.37956667,24.7273,1.878366667,2.097666667,2.2982,2.762266667,3.6796,4.8138,5.413633333,6.515,7.6855,10.2864,12.99076667,14.95723333,17.2038,18.96373333,20.6095,21.82833333,23.30613333,1.806166667,1.9886,2.1847,2.6454,3.532566667,4.640166667,5.225533333,6.2973,7.468533333,9.99,12.69003333,14.61853333,16.751,18.7625,20.2864,21.58816667,23.30613333
FXM73663FAUJHDD4E+04014112675184077838805933,1.6374,1.843533333,2.0372,2.507233333,3.4123,4.512133333,5.142266667,6.214733333,7.4215,9.972066667,12.7074,14.64716667,16.89343333,18.7211,20.27006667,21.7447,23.4455,1.5525,1.732666667,1.933466667,2.367033333,3.248333333,4.333266667,4.9325,5.972633333,7.150333333,9.670533333,12.34216667,14.27163333,16.44016667,18.43043333,19.8336,21.01886667,22.9249,1.344366667,1.526233333,1.695133333,2.1004,2.914566667,3.922766667,4.477466667,5.477433333,6.5894,8.999566667,11.57526667,13.4736,15.519,17.4681,18.83456667,20.36086667,21.6886
FXM73663FCWJHDD46+04014114690184077855805933,1.919,2.133433333,2.345,2.828166667,3.773333333,4.930933333,5.5852,6.714933333,7.958933333,10.50873333,13.28826667,15.27416667,17.41723333,19.38763333,20.8195,22.10126667,23.70016667,1.855233333,2.053266667,2.2525,2.723966667,3.6447,4.787533333,5.418166667,6.5329,7.7319,10.28343333,13.044,15.02436667,17.1986,19.09656667,20.7348,21.89363333,24.23673333,2.012466667,2.227233333,2.422133333,2.9174,3.898533333,5.0834,5.7402,6.916666667,8.157533333,10.78526667,13.61476667,15.56656667,17.82556667,19.65653333,21.41133333,22.65296667,24.05566667
